gene.names	cluster
ENSMUSG00000036800	Fam135b	1
ENSMUSG00000067028	Cntnap5b	1
ENSMUSG00000022307	Oxr1	1
ENSMUSG00000055022	Cntn1	1
ENSMUSG00000024109	Nrxn1	1
ENSMUSG00000024120	Lrpprc	1
ENSMUSG00000026219	Trip12	1
ENSMUSG00000027698	Nceh1	1
ENSMUSG00000029108	Pcdh7	1
ENSMUSG00000029263	Pigg	1
ENSMUSG00000030465	Psd3	1
ENSMUSG00000032086	Bace1	1
ENSMUSG00000036501	Fam13b	1
ENSMUSG00000064225	Paqr9	1
ENSMUSG00000064329	Scn1a	1
ENSMUSG00000102543	Pcdhgc5	1
ENSMUSG00000040433	Zbtb38	1
ENSMUSG00000024294	Mib1	1
ENSMUSG00000032826	Ank2	1
ENSMUSG00000052459	Atp6v1a	1
ENSMUSG00000042446	Zmym4	1
ENSMUSG00000049659	Aftph	1
ENSMUSG00000028528	Dnajc6	1
ENSMUSG00000026159	Agfg1	1
ENSMUSG00000037685	Atp8a1	1
ENSMUSG00000047976	Kcna1	1
ENSMUSG00000050954	Zfp169	1
ENSMUSG00000031391	L1cam	1
ENSMUSG00000056553	Ptprn2	1
ENSMUSG00000056602	Fry	1
ENSMUSG00000023960	Enpp5	1
ENSMUSG00000028960	Ube4b	1
ENSMUSG00000039652	Cpeb3	1
ENSMUSG00000046230	Vps13a	1
ENSMUSG00000056004	Elapor2	1
ENSMUSG00000020668	Kif3c	1
ENSMUSG00000074746	Pdzd8	1
ENSMUSG00000031010	Usp9x	1
ENSMUSG00000042082	Arsb	1
ENSMUSG00000056222	Spock1	1
ENSMUSG00000042197	Zfp451	1
ENSMUSG00000049176	Frmpd4	1
ENSMUSG00000073725	Lmbrd1	1
ENSMUSG00000022772	Senp5	1
ENSMUSG00000031095	Cul4b	1
ENSMUSG00000087370	Tmem170b	1
ENSMUSG00000033943	Mga	1
ENSMUSG00000018800	Abca5	1
ENSMUSG00000025757	Hspa4l	1
ENSMUSG00000037905	Bri3bp	1
ENSMUSG00000040687	Madd	1
ENSMUSG00000054814	Usp46	1
ENSMUSG00000070639	Lrrc8b	1
ENSMUSG00000038594	Cep85l	1
ENSMUSG00000044308	Ubr3	1
ENSMUSG00000031229	Atrx	1
ENSMUSG00000090112	Shprh	1
ENSMUSG00000048109	Rbm15	1
ENSMUSG00000027002	Nckap1	1
ENSMUSG00000078879	Zfp973	1
ENSMUSG00000045210	Vcpip1	1
ENSMUSG00000027630	Tbl1xr1	1
ENSMUSG00000033653	Vps8	1
ENSMUSG00000001986	Gria3	1
ENSMUSG00000020590	Snx13	1
ENSMUSG00000031278	Acsl4	1
ENSMUSG00000046699	Slitrk4	1
ENSMUSG00000055421	Pcdh9	1
ENSMUSG00000055567	Unc80	1
ENSMUSG00000074519	Zfp971	1
ENSMUSG00000025964	Adam23	1
ENSMUSG00000030016	Zfp638	1
ENSMUSG00000033624	Pdpr	1
ENSMUSG00000021301	Hecw1	1
ENSMUSG00000032839	Trpc1	1
ENSMUSG00000005362	Crbn	1
ENSMUSG00000000787	Ddx3x	1
ENSMUSG00000037857	Nufip2	1
ENSMUSG00000028431	Elp1	1
ENSMUSG00000024130	Abca3	1
ENSMUSG00000032393	Dpp8	1
ENSMUSG00000039578	Ccser1	1
ENSMUSG00000040724	Kcna2	1
ENSMUSG00000058656	Samd12	1
ENSMUSG00000020841	Cpd	1
ENSMUSG00000024472	Dcp2	1
ENSMUSG00000097837	NA	1
ENSMUSG00000074582	Arfgef2	1
ENSMUSG00000022601	Zbtb11	1
ENSMUSG00000002222	Rmnd5a	1
ENSMUSG00000022139	Mbnl2	1
ENSMUSG00000020181	Nav3	1
ENSMUSG00000023845	Lnpep	1
ENSMUSG00000025907	Rb1cc1	1
ENSMUSG00000044042	Fmn1	1
ENSMUSG00000048279	Sacs	1
ENSMUSG00000035164	Zc3h12c	1
ENSMUSG00000050663	Trhde	1
ENSMUSG00000021313	Ryr2	1
ENSMUSG00000063870	Chd4	1
ENSMUSG00000022533	Atp13a3	1
ENSMUSG00000022142	Nup155	1
ENSMUSG00000005893	Nr2c2	1
ENSMUSG00000031996	Aplp2	1
ENSMUSG00000033731	3300002A11Rik	1
ENSMUSG00000039704	Lmbrd2	1
ENSMUSG00000020986	Sec23a	1
ENSMUSG00000058258	Idi1	1
ENSMUSG00000050064	Zfp697	1
ENSMUSG00000024811	Tnks2	1
ENSMUSG00000038384	Setd1b	1
ENSMUSG00000003847	Nfat5	1
ENSMUSG00000039841	Zfp800	1
ENSMUSG00000110249	9330121K16Rik	1
ENSMUSG00000043467	Zbtb37	1
ENSMUSG00000047959	Kcna3	1
ENSMUSG00000030525	Chrna7	1
ENSMUSG00000034088	Hdlbp	1
ENSMUSG00000027823	Gmps	1
ENSMUSG00000021670	Hmgcr	1
ENSMUSG00000025986	Slc39a10	1
ENSMUSG00000015189	Casd1	1
ENSMUSG00000042104	Uggt2	1
ENSMUSG00000030643	Rab30	1
ENSMUSG00000026623	Lpgat1	1
ENSMUSG00000064302	Clasp1	1
ENSMUSG00000043940	Wdfy3	1
ENSMUSG00000038866	Zcchc2	1
ENSMUSG00000031732	Phlpp2	1
ENSMUSG00000048490	Nrip1	1
ENSMUSG00000024122	Pdpk1	1
ENSMUSG00000031529	Tnks	1
ENSMUSG00000048814	Lonrf2	1
ENSMUSG00000007989	Fzd3	1
ENSMUSG00000040383	Aqr	1
ENSMUSG00000057230	Aak1	1
ENSMUSG00000106847	Peg13	1
ENSMUSG00000036333	Kidins220	1
ENSMUSG00000031870	Pgr	1
ENSMUSG00000019790	Stxbp5	1
ENSMUSG00000026319	Relch	1
ENSMUSG00000031523	Dlc1	1
ENSMUSG00000020124	Usp15	1
ENSMUSG00000029729	Zkscan1	1
ENSMUSG00000025220	Oga	1
ENSMUSG00000031731	Ap1g1	1
ENSMUSG00000045482	Trrap	1
ENSMUSG00000111375	Btbd8	1
ENSMUSG00000036550	Cnot1	1
ENSMUSG00000037890	Wdr19	1
ENSMUSG00000029763	Exoc4	1
ENSMUSG00000020964	Sel1l	1
ENSMUSG00000021109	Hif1a	1
ENSMUSG00000030302	Atp2b2	1
ENSMUSG00000031292	Cdkl5	1
ENSMUSG00000027104	Atf2	1
ENSMUSG00000028381	Ugcg	1
ENSMUSG00000054958	Nt5c1a	1
ENSMUSG00000027009	Itga4	1
ENSMUSG00000074283	Zfp109	1
ENSMUSG00000020315	Sptbn1	1
ENSMUSG00000036104	Rab3gap1	1
ENSMUSG00000042055	Wdr11	1
ENSMUSG00000056342	Usp34	1
ENSMUSG00000040720	Virma	1
ENSMUSG00000030313	Dennd5b	1
ENSMUSG00000032589	Bsn	1
ENSMUSG00000000197	Nalcn	1
ENSMUSG00000026135	Zfp142	1
ENSMUSG00000033419	Snap91	1
ENSMUSG00000019852	Arfgef3	1
ENSMUSG00000025777	Gdap1	1
ENSMUSG00000030835	Nomo1	1
ENSMUSG00000026103	Gls	1
ENSMUSG00000037646	Vps13b	1
ENSMUSG00000040265	Dnm3	1
ENSMUSG00000020376	Rnf130	1
ENSMUSG00000063663	Brwd3	1
ENSMUSG00000102697	Pcdhac2	1
ENSMUSG00000022311	Csmd3	1
ENSMUSG00000029634	Rnf6	1
ENSMUSG00000069601	Ank3	1
ENSMUSG00000038486	Sv2a	1
ENSMUSG00000035284	Vps13c	1
ENSMUSG00000049354	Dcaf7	1
ENSMUSG00000021357	Exoc2	1
ENSMUSG00000031558	Slit2	1
ENSMUSG00000051344	Plekhm3	1
ENSMUSG00000074228	Gm10645	1
ENSMUSG00000078886	Gm2026	1
ENSMUSG00000043535	Setx	1
ENSMUSG00000061601	Pclo	1
ENSMUSG00000005580	Adcy9	1
ENSMUSG00000005886	Ncoa2	1
ENSMUSG00000028354	Fmn2	1
ENSMUSG00000034021	Pds5b	1
ENSMUSG00000037270	Bltp1	1
ENSMUSG00000039000	Ube3c	1
ENSMUSG00000043458	Pcdhb12	1
ENSMUSG00000062209	Erbb4	1
ENSMUSG00000039697	Ncoa7	1
ENSMUSG00000034667	Xpot	1
ENSMUSG00000061080	Lsamp	1
ENSMUSG00000034187	Nsf	1
ENSMUSG00000025019	Lcor	1
ENSMUSG00000046201	Scaf8	1
ENSMUSG00000032186	Tmod2	1
ENSMUSG00000025860	Xiap	1
ENSMUSG00000062901	Klhl24	1
ENSMUSG00000032030	Cul5	1
ENSMUSG00000017978	Cadps2	1
ENSMUSG00000021690	Jmy	1
ENSMUSG00000026383	Epb41l5	1
ENSMUSG00000027177	Hipk3	1
ENSMUSG00000029571	Tmem106b	1
ENSMUSG00000032244	Fem1b	1
ENSMUSG00000026553	Copa	1
ENSMUSG00000046873	Mbtps2	1
ENSMUSG00000029004	Kmt2e	1
ENSMUSG00000059890	Ube4a	1
ENSMUSG00000024431	Nr3c1	1
ENSMUSG00000024908	Ppp6r3	1
ENSMUSG00000021573	Tppp	1
ENSMUSG00000070923	Klhl9	1
ENSMUSG00000027254	Map1a	1
ENSMUSG00000019889	Ptprk	1
ENSMUSG00000028030	Tbck	1
ENSMUSG00000008763	Man1a2	1
ENSMUSG00000020458	Rtn4	1
ENSMUSG00000037605	Adgrl3	1
ENSMUSG00000064115	Cadm2	1
ENSMUSG00000003949	Hlf	1
ENSMUSG00000020859	Spag9	1
ENSMUSG00000066440	Zfyve26	1
ENSMUSG00000031314	Taf1	1
ENSMUSG00000028403	Zdhhc21	1
ENSMUSG00000041483	Zfp281	1
ENSMUSG00000069539	Scyl2	1
ENSMUSG00000057406	Nsd2	1
ENSMUSG00000038172	Ttc39b	1
ENSMUSG00000024073	Birc6	1
ENSMUSG00000052302	Tbc1d30	1
ENSMUSG00000003316	Glg1	1
ENSMUSG00000026113	Inpp4a	1
ENSMUSG00000040102	Klhl42	1
ENSMUSG00000020300	Cpeb4	1
ENSMUSG00000028926	Cdk14	1
ENSMUSG00000067194	Eif1ax	1
ENSMUSG00000031592	Pcm1	1
ENSMUSG00000035847	Ids	1
ENSMUSG00000102602	A930004J17Rik	1
ENSMUSG00000018481	Appbp2	1
ENSMUSG00000021027	Ralgapa1	1
ENSMUSG00000022946	Dop1b	1
ENSMUSG00000038733	Wdr26	1
ENSMUSG00000022387	Brd1	1
ENSMUSG00000035623	Rsf1	1
ENSMUSG00000066037	Hnrnpr	1
ENSMUSG00000029840	Mtpn	1
ENSMUSG00000046785	Epm2aip1	1
ENSMUSG00000021945	Zmym2	1
ENSMUSG00000026565	Pou2f1	1
ENSMUSG00000041720	Pi4ka	1
ENSMUSG00000060568	Fam78b	1
ENSMUSG00000021719	Rgs7bp	1
ENSMUSG00000066232	Ipo7	1
ENSMUSG00000026827	Gpd2	1
ENSMUSG00000072294	Klf12	1
ENSMUSG00000039913	Pak5	1
ENSMUSG00000045973	Slc25a51	1
ENSMUSG00000021730	Hcn1	1
ENSMUSG00000023025	Larp4	1
ENSMUSG00000036790	Slitrk2	1
ENSMUSG00000068740	Celsr2	1
ENSMUSG00000029787	Avl9	1
ENSMUSG00000047146	Tet1	1
ENSMUSG00000031772	Cntnap4	1
ENSMUSG00000025153	Fasn	1
ENSMUSG00000028488	Sh3gl2	1
ENSMUSG00000037341	Slc9a7	1
ENSMUSG00000047804	Akap10	1
ENSMUSG00000038324	Trpc4ap	1
ENSMUSG00000022507	Hapstr1	1
ENSMUSG00000034724	Cnot6l	1
ENSMUSG00000027770	Dhx36	1
ENSMUSG00000040865	Ino80d	1
ENSMUSG00000103697	Gm38020	1
ENSMUSG00000035437	Rabgap1	1
ENSMUSG00000039782	Cpeb2	1
ENSMUSG00000026825	Dnm1	1
ENSMUSG00000027663	Zmat3	1
ENSMUSG00000053835	H2-T24	1
ENSMUSG00000028580	Pum1	1
ENSMUSG00000037999	Arap2	1
ENSMUSG00000073678	Pgap1	1
ENSMUSG00000032009	Sesn3	1
ENSMUSG00000035933	Cog5	1
ENSMUSG00000064127	Med14	1
ENSMUSG00000047414	Flrt2	1
ENSMUSG00000028524	Sgip1	1
ENSMUSG00000033478	Fhip2a	1
ENSMUSG00000038630	Zkscan16	1
ENSMUSG00000118202	C030017B01Rik	1
ENSMUSG00000075703	Selenoi	1
ENSMUSG00000019877	Serinc1	1
ENSMUSG00000028243	Ubxn2b	1
ENSMUSG00000029998	Pcyox1	1
ENSMUSG00000035236	Scai	1
ENSMUSG00000041408	Wapl	1
ENSMUSG00000066324	Bpnt2	1
ENSMUSG00000025949	Pikfyve	1
ENSMUSG00000027475	Kif3b	1
ENSMUSG00000033014	Trim33	1
ENSMUSG00000029246	Ppat	1
ENSMUSG00000030987	Stim1	1
ENSMUSG00000030145	Zfp248	1
ENSMUSG00000034653	Ythdc2	1
ENSMUSG00000060510	Zfp266	1
ENSMUSG00000035992	Fnip1	1
ENSMUSG00000059173	Pde1a	1
ENSMUSG00000033628	Pik3c3	1
ENSMUSG00000026112	Coa5	1
ENSMUSG00000045767	B230219D22Rik	1
ENSMUSG00000023026	Dip2b	1
ENSMUSG00000058230	Arhgap35	1
ENSMUSG00000059742	Kcnh7	1
ENSMUSG00000029250	Polr2b	1
ENSMUSG00000068966	Zbtb34	1
ENSMUSG00000037643	Prkci	1
ENSMUSG00000058093	Zfp729b	1
ENSMUSG00000040423	Rc3h1	1
ENSMUSG00000049148	Plcxd3	1
ENSMUSG00000046572	Zfp518b	1
ENSMUSG00000031386	Hcfc1	1
ENSMUSG00000024261	Syt4	1
ENSMUSG00000039191	Rbpj	1
ENSMUSG00000041649	Klf8	1
ENSMUSG00000041670	Rims1	1
ENSMUSG00000115591	Gm31282	1
ENSMUSG00000004113	Cacna1b	1
ENSMUSG00000024382	Ercc3	1
ENSMUSG00000033610	Pank1	1
ENSMUSG00000035093	Secisbp2l	1
ENSMUSG00000004798	Ulk2	1
ENSMUSG00000050310	Rictor	1
ENSMUSG00000020580	Rock2	1
ENSMUSG00000059839	Zfp874b	1
ENSMUSG00000114558	Gm9570	1
ENSMUSG00000034269	Setd5	1
ENSMUSG00000051177	Plcb1	1
ENSMUSG00000041771	Slc24a4	1
ENSMUSG00000054939	Zfp174	1
ENSMUSG00000021770	Samd8	1
ENSMUSG00000022619	Mapk8ip2	1
ENSMUSG00000037369	Kdm6a	1
ENSMUSG00000056429	Tgoln1	1
ENSMUSG00000020361	Hspa4	1
ENSMUSG00000037234	Hook3	1
ENSMUSG00000042599	Kdm7a	1
ENSMUSG00000034731	Dgkh	1
ENSMUSG00000039419	Cntnap2	1
ENSMUSG00000052516	Robo2	1
ENSMUSG00000021427	Ssr1	1
ENSMUSG00000032452	Clstn2	1
ENSMUSG00000030075	Cntn3	1
ENSMUSG00000043885	Slc36a4	1
ENSMUSG00000027272	Ubr1	1
ENSMUSG00000055024	Ep300	1
ENSMUSG00000062257	Opcml	1
ENSMUSG00000026163	Sphkap	1
ENSMUSG00000017485	Top2b	1
ENSMUSG00000020246	Hcfc2	1
ENSMUSG00000005034	Prkacb	1
ENSMUSG00000095253	Zfp799	1
ENSMUSG00000034152	Exoc3	1
ENSMUSG00000024283	Wac	1
ENSMUSG00000043019	Edem3	1
ENSMUSG00000039840	Epg5	1
ENSMUSG00000034111	Tmed8	1
ENSMUSG00000032216	Nedd4	1
ENSMUSG00000063077	Kif1b	1
ENSMUSG00000032827	Ppp1r9a	1
ENSMUSG00000009207	Lnpk	1
ENSMUSG00000026235	Epha4	1
ENSMUSG00000034275	Igsf9b	1
ENSMUSG00000049470	Aff4	1
ENSMUSG00000025899	Alkbh8	1
ENSMUSG00000022201	Zfr	1
ENSMUSG00000054409	Tmem74	1
ENSMUSG00000103793	Pcdhga6	1
ENSMUSG00000025544	Tm9sf2	1
ENSMUSG00000105272	Gm43071	1
ENSMUSG00000106099	Gm42664	1
ENSMUSG00000026502	Desi2	1
ENSMUSG00000063760	Rnf217	1
ENSMUSG00000090100	Ttbk2	1
ENSMUSG00000022629	Kif21a	1
ENSMUSG00000025323	Sp4	1
ENSMUSG00000055884	Fancm	1
ENSMUSG00000102302	Gm38190	1
ENSMUSG00000027806	Tsc22d2	1
ENSMUSG00000040446	Rprd1a	1
ENSMUSG00000030283	St8sia1	1
ENSMUSG00000054693	Adam10	1
ENSMUSG00000027340	Slc23a2	1
ENSMUSG00000036769	Wdr44	1
ENSMUSG00000000532	Acvr1b	1
ENSMUSG00000036676	Tmtc3	1
ENSMUSG00000016150	Tenm1	1
ENSMUSG00000056124	B4galt6	1
ENSMUSG00000039716	Dock3	1
ENSMUSG00000060681	Slc9a6	1
ENSMUSG00000019791	Hint3	1
ENSMUSG00000045983	Eif4g1	1
ENSMUSG00000045103	Dmd	1
ENSMUSG00000014355	Anapc1	1
ENSMUSG00000029502	Golga3	1
ENSMUSG00000028053	Ash1l	1
ENSMUSG00000042699	Dhx9	1
ENSMUSG00000057716	Tmem178b	1
ENSMUSG00000037426	Depdc5	1
ENSMUSG00000017412	Cacnb4	1
ENSMUSG00000025531	Chm	1
ENSMUSG00000006527	Sfmbt1	1
ENSMUSG00000030180	Kdm5a	1
ENSMUSG00000074212	Dnajb14	1
ENSMUSG00000020366	Mapk9	1
ENSMUSG00000025266	Gnl3l	1
ENSMUSG00000037876	Jmjd1c	1
ENSMUSG00000033319	Fem1c	1
ENSMUSG00000048264	Dip2c	1
ENSMUSG00000056427	Slit3	1
ENSMUSG00000038121	Fam210a	1
ENSMUSG00000041040	Fam117b	1
ENSMUSG00000026014	Raph1	1
ENSMUSG00000030031	Kbtbd8	1
ENSMUSG00000038984	Tspyl5	1
ENSMUSG00000102869	Norad	1
ENSMUSG00000058690	Ccser2	1
ENSMUSG00000068747	Sort1	1
ENSMUSG00000033411	Ctdspl2	1
ENSMUSG00000033671	Cep350	1
ENSMUSG00000059921	Unc5c	1
ENSMUSG00000096954	NA	1
ENSMUSG00000023830	Igf2r	1
ENSMUSG00000040022	Rab11fip2	1
ENSMUSG00000039763	Dnajc28	1
ENSMUSG00000049313	Sorl1	1
ENSMUSG00000020647	Ncoa1	1
ENSMUSG00000046994	Mars2	1
ENSMUSG00000025224	Gbf1	1
ENSMUSG00000026959	Grin1	1
ENSMUSG00000020576	Nbas	1
ENSMUSG00000017119	Nbr1	1
ENSMUSG00000073016	Uprt	1
ENSMUSG00000028550	Atg4c	1
ENSMUSG00000033228	Scaf11	1
ENSMUSG00000063894	Zkscan8	1
ENSMUSG00000028514	Usp24	1
ENSMUSG00000029405	G3bp2	1
ENSMUSG00000019841	Rev3l	1
ENSMUSG00000033278	Ptprm	1
ENSMUSG00000034501	Pcnx4	1
ENSMUSG00000053141	Ptprt	1
ENSMUSG00000032340	Neo1	1
ENSMUSG00000035696	Rnf38	1
ENSMUSG00000041552	Ptchd1	1
ENSMUSG00000028991	Mtor	1
ENSMUSG00000032777	Gtf3c1	1
ENSMUSG00000058914	C1qtnf3	1
ENSMUSG00000026585	Kifap3	1
ENSMUSG00000005198	Polr2a	1
ENSMUSG00000054752	Fsd1l	1
ENSMUSG00000057133	Chd6	1
ENSMUSG00000067336	Bmpr2	1
ENSMUSG00000029434	Vps33a	1
ENSMUSG00000050192	Eif5a2	1
ENSMUSG00000070695	Cntnap5a	1
ENSMUSG00000025597	Klhl4	1
ENSMUSG00000025909	Sntg1	1
ENSMUSG00000000538	Tom1l2	1
ENSMUSG00000031555	Adam9	1
ENSMUSG00000038215	Cep44	1
ENSMUSG00000047888	Tnrc6b	1
ENSMUSG00000039262	Prrc2b	1
ENSMUSG00000005802	Slc30a4	1
ENSMUSG00000020716	Nf1	1
ENSMUSG00000055415	Atp10b	1
ENSMUSG00000069919	Hba-a1	1
ENSMUSG00000047037	Nipa1	1
ENSMUSG00000069089	Cdk7	1
ENSMUSG00000059003	Grin2a	1
ENSMUSG00000020541	Tom1l1	1
ENSMUSG00000052305	Hbb-bs	1
ENSMUSG00000040420	Cdh18	1
ENSMUSG00000071252	2210408I21Rik	1
ENSMUSG00000022008	Gpalpp1	1
ENSMUSG00000053925	Gm9929	1
ENSMUSG00000038914	Dido1	1
ENSMUSG00000069895	Atxn1l	1
ENSMUSG00000096188	Cmtm4	1
ENSMUSG00000037119	Fam91a1	1
ENSMUSG00000006423	Steep1	1
ENSMUSG00000074968	Ano3	1
ENSMUSG00000036155	Mgat5	1
ENSMUSG00000103567	Pcdhga5	1
ENSMUSG00000022361	Zhx1	1
ENSMUSG00000027087	Itgav	1
ENSMUSG00000062604	Srpk2	1
ENSMUSG00000024074	Crim1	1
ENSMUSG00000059439	Bcas3	1
ENSMUSG00000074776	Gm10754	1
ENSMUSG00000021171	Esyt2	1
ENSMUSG00000036452	Arhgap26	1
ENSMUSG00000009470	Tnpo1	1
ENSMUSG00000103088	Pcdhgb6	1
ENSMUSG00000021936	Mapk8	1
ENSMUSG00000047694	Yipf6	1
ENSMUSG00000069072	Slc7a14	1
ENSMUSG00000028402	Mpdz	1
ENSMUSG00000039254	Pomt1	1
ENSMUSG00000023032	Slc4a8	1
ENSMUSG00000052727	Map1b	1
ENSMUSG00000029366	Dck	1
ENSMUSG00000063317	Usp31	1
ENSMUSG00000108802	Gm44769	1
ENSMUSG00000029461	Fam168a	1
ENSMUSG00000009535	Rnmt	1
ENSMUSG00000034488	Edil3	1
ENSMUSG00000090061	Nwd2	1
ENSMUSG00000099083	Atf7	1
ENSMUSG00000018501	Ncor1	1
ENSMUSG00000024563	Smad2	1
ENSMUSG00000037674	Rfx7	1
