ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,start_position,end_position,WT/WT_mean_expression,WT/FC_mean_expression,FC/FC_mean_expression,WT/VS_mean_expression,VS/VS_mean_expression,Agora_target,Cluster_ID
ENSMUSG00000000538,Tom1l2,216810,11,60117540,60243731,0.0778458898489152,0.618291220904906,0.423315049950647,-0.276727309216387,-0.849585000466025,no,2
ENSMUSG00000000563,Atp5pb,11950,3,105850014,105867415,-0.179846147610419,-0.697759133864181,-0.395572889030205,0.79293262946615,0.556983557257705,no,1
ENSMUSG00000000594,Gm2a,14667,11,54988941,55003855,0.147882408099947,-0.614015710553891,-0.430933535445398,0.540765663554859,0.194221392390071,no,1
ENSMUSG00000000631,Myo18a,360013,11,77654072,77756806,0.224724279303029,0.496568438674873,0.217103592436937,-0.731166289038829,-0.334392527630433,no,2
ENSMUSG00000000711,Rab5b,19344,10,128513044,128532133,-0.0864980104025146,-0.0741053636790876,-0.0676518579676667,0.991050134736486,-0.704096841858764,no,1
ENSMUSG00000000740,Rpl13,270106,8,123829089,123831983,-0.131742884734466,-0.743599782901478,-0.443163647175141,0.984559692574521,0.370787137212329,no,1
ENSMUSG00000000766,Oprm1,18390,10,6708506,6988198,0.0994958361204732,0.736446338258492,0.176822384591612,-0.402715107294852,-0.623300800577876,no,2
ENSMUSG00000000804,Usp32,237898,11,84875268,85030987,0.0887846048771517,0.684781506053708,0.48558060966242,-0.598883974994258,-0.669786073752499,no,2
ENSMUSG00000000826,Dnajc5,13002,2,181162278,181196926,0.209052961455356,0.573048471326531,0.341075220010232,-0.697401311553378,-0.534811023053019,no,2
ENSMUSG00000000838,Fmr1,14265,X,67722147,67761569,0.117999979674134,0.535598953093693,0.338757094634186,-0.560929336951883,-0.4752934291146,no,2
ENSMUSG00000000902,Smarcb1,20587,10,75732603,75757451,-0.166466386690803,-0.776963868199988,-0.448932804313559,1.03554088153975,0.416924978665989,no,1
ENSMUSG00000000948,Gm38393,NA,7,59623897,59654812,0.213642355189101,0.473149261972502,0.520828655366852,-0.757698529992134,-0.570724403763794,no,2
ENSMUSG00000001016,Ilf2,67781,3,90383433,90395686,0.128745179790627,-0.497170218901718,-0.470689139663484,0.1786552885994,0.522469153757027,no,1
ENSMUSG00000001025,S100a6,20200,3,90520189,90531488,-0.189891109419558,-0.438952513575903,-0.227649118816784,0.276674405279894,0.68565729246564,yes,1
ENSMUSG00000001052,Sec24b,99683,3,129776408,129855202,0.154135366011452,0.431028199223705,0.334270042159151,-0.276712638147488,-0.72240347715353,no,2
ENSMUSG00000001053,N4bp3,212706,11,51533890,51541669,-0.253952053815712,-0.746912285805637,-0.0599007808934926,0.509128037787905,0.679858432604895,yes,1
ENSMUSG00000001056,Nhp2,52530,11,51510562,51514541,-0.224220274000403,-0.622515938561445,-0.30539786288696,0.886962600678685,0.381460352056981,no,1
ENSMUSG00000001089,Luzp1,269593,4,136197072,136282091,0.120773698387041,0.517574512699454,0.511001859877187,-0.303471194239829,-0.893327941122716,no,2
ENSMUSG00000001098,Kctd10,330171,5,114501628,114518569,0.174943462452953,-0.331387826737024,-0.76616636044599,0.654954406025413,0.108833069636664,no,1
ENSMUSG00000001100,Poldip2,67811,11,78403019,78413562,0.116862306514234,-0.767233385819285,-0.53106806804227,0.533993228180096,0.495863073796638,no,1
ENSMUSG00000001105,Ift20,55978,11,78427187,78432563,-0.0532350972969225,-0.534247904202757,-0.495153322827554,0.50087314374542,0.577168844871049,no,1
ENSMUSG00000001127,Araf,11836,X,20664053,20726758,-0.0141054844785219,-0.694668482414623,-0.439647379436052,0.739995816140853,0.361115603345887,no,1
ENSMUSG00000001150,Mcm3ap,54387,10,76304761,76351691,-0.250805267990992,0.373375907623759,0.809651934438244,-0.344076716483044,-0.368927247625948,no,2
ENSMUSG00000001151,Pcnt,18541,10,76187097,76278620,0.126387505711181,0.193933719138127,0.606924783869578,-0.849386778890342,-0.156488715850465,no,2
ENSMUSG00000001158,Snrnp27,66618,6,86652133,86661504,-0.163768239325257,-0.548245001334651,-0.498182015445877,0.704441562642928,0.582892789512133,no,1
ENSMUSG00000001240,Ramp2,54409,11,101136854,101150372,-0.140488676629411,-0.460694940532373,-0.538056431447381,0.821995285577719,0.384220025459166,no,1
ENSMUSG00000001248,Gramd1a,52857,7,30829552,30855321,-0.204389370663352,-0.561083217543112,-0.30441918332077,0.671821567248114,0.504605297481278,no,1
ENSMUSG00000001270,Ckb,12709,12,111635795,111638772,-0.0685752040220011,-0.780067462718235,-0.347491618161954,0.813189057259602,0.369371008765844,no,1
ENSMUSG00000001280,Sp1,20683,15,102314578,102344839,0.139764192073909,0.571363912037455,0.50803226801437,-0.45457385861709,-0.82179599822779,yes,2
ENSMUSG00000001285,Myg1,60315,15,102240144,102246574,-0.27768844537479,-0.416789412254023,-0.391031960095934,0.842326808204435,0.416716892530188,no,1
ENSMUSG00000001289,Pfdn5,56612,15,102234551,102240308,-0.152801908493611,-0.443325216728488,-0.511932374218689,0.543758680240664,0.641958482509653,no,1
ENSMUSG00000001334,Fndc5,384061,4,129030477,129038386,0.0267240401982173,-0.764414675188444,-0.404805654531142,0.680410761374288,0.378341275065945,no,1
ENSMUSG00000001416,Cct3,12462,3,88204423,88229074,-0.0897758620835981,-0.513246792624546,-0.29738045927686,0.467000155700928,0.457964288794841,no,1
ENSMUSG00000001525,Tubb5,22154,17,36144813,36149198,-0.192224746659835,-0.366548524963048,-0.612710568235167,0.90558665604435,0.379520033395004,no,1
ENSMUSG00000001707,Eef1e1,66143,13,38828183,38843034,-0.0932474494110236,-0.0230029576041899,-0.595545971284245,0.75235500392941,0.0274600482946801,no,1
ENSMUSG00000001729,Akt1,11651,12,112620255,112641318,-0.175779047581516,-0.692338619580084,-0.214277436011427,1.07923430769968,0.0773001961941175,yes,1
ENSMUSG00000001794,Capns1,12336,7,29886361,29898236,-0.0540949181814267,-0.672527668855923,-0.348030123133085,0.65756792591786,0.401612000483953,no,1
ENSMUSG00000001829,Clpb,20480,7,101312840,101444713,-0.125883179962262,0.739550933280974,0.420856578992665,-0.0960967487425582,-0.782385954157099,no,2
ENSMUSG00000001844,Zdhhc4,72881,5,143302244,143315011,-0.0927628468825618,-0.112843155694117,-0.7192906313023,0.649931945680404,0.335133227052712,no,1
ENSMUSG00000001855,Nup214,227720,2,31864448,31943987,0.26030702892475,0.58463204657236,0.149564634315492,-0.429902716984294,-0.711111927307522,no,2
ENSMUSG00000001909,Trmt1,212528,8,85412936,85426437,-0.270259913496305,-0.496543414425237,-0.195269917125399,0.719085359722501,0.404304202577887,no,1
ENSMUSG00000001983,Taco1,70207,11,105956887,105964438,0.0655943888276828,0.440282250694633,0.481716532865224,-0.3860770912381,-0.614021685212247,no,2
ENSMUSG00000001986,Gria3,53623,X,40489731,40767478,-0.0517831107871667,0.761262128286667,0.394840622910602,-0.7227831114816,-0.27926068514757,yes,2
ENSMUSG00000001995,Sipa1l2,244668,8,126144802,126296547,0.166892565360298,0.548379180039785,0.1701477691325,-0.105392540297841,-0.859498133251657,no,2
ENSMUSG00000001998,Ap4e1,108011,2,126850637,126909829,0.0573904332987718,0.512490341575318,0.588166532113459,-0.601787547713236,-0.556595055783928,no,2
ENSMUSG00000002010,Idh3g,15929,X,72822569,72830503,-0.126032821481634,-0.590218208526006,-0.460326679345068,0.822767582149491,0.399149892604082,no,1
ENSMUSG00000002012,Pnck,93843,X,72699600,72703723,-0.0893065887727965,-0.126881740438864,-0.655132049471668,0.509211334977328,0.418515506915758,no,1
ENSMUSG00000002014,Ssr4,20832,X,72830634,72834436,-0.0271256712233152,-0.626976868511743,-0.408024803044315,0.624526246177789,0.40569727764309,no,1
ENSMUSG00000002015,Bcap31,27061,X,72729784,72759781,-0.0469950045861258,-0.828974406898293,-0.135945611235158,0.646340288322614,0.33173978726163,no,1
ENSMUSG00000002028,Kmt2a,214162,9,44714652,44792594,0.221515459151189,0.569815339065339,0.207626393607454,-0.78359037591012,-0.334018798688304,no,2
ENSMUSG00000002043,Trappc6a,67091,7,19242320,19250070,-0.181330734916114,-0.278385948768218,-0.560336609749904,0.903992582225307,0.228859933331976,no,1
ENSMUSG00000002052,Supt6,20926,11,78097572,78136813,0.0114534039623087,0.733704843673887,0.584712499570232,-0.758644571032741,-0.518674158839134,no,2
ENSMUSG00000002059,Rab34,19376,11,78079256,78083019,0.0112398088928181,-0.654845051457146,-0.454122456464283,0.522787173384203,0.511940248020168,no,1
ENSMUSG00000002102,Psmc3,19182,2,90884354,90896714,-0.122388633854787,-0.383350368936922,-0.649777798177491,0.752178468864614,0.463183943417542,no,1
ENSMUSG00000002222,Rmnd5a,68477,6,71365618,71417621,0.132752520437019,0.447519926979093,0.606098506154841,-0.627604931847532,-0.621037084803124,no,2
ENSMUSG00000002233,Rhoc,11853,3,104695691,104701775,-0.281320336913098,-0.90268973399417,-0.222055095291701,0.930494006811327,0.611337267572889,no,1
ENSMUSG00000002265,Peg3,18616,7,6706891,6733430,0.246023493673852,0.70123089327435,0.243311626729741,-0.711048656580895,-0.605599069579833,no,2
ENSMUSG00000002329,Mdp1,67881,14,55895336,55897965,-0.318627337973193,-0.318349905698817,-0.314084134919313,0.734110819006772,0.42939190425637,no,1
ENSMUSG00000002372,Ranbp3,71810,17,56980294,57018764,-0.0252686503858759,-0.649854536684287,-0.52105957233194,0.583851642307594,0.577128060160314,no,1
ENSMUSG00000002379,Ndufa11,69875,17,57024767,57029141,-0.107714582443067,-0.558305650952964,-0.582860137252538,0.763462376688976,0.519678459879051,yes,1
ENSMUSG00000002395,Use1,67023,8,71819492,71822376,-0.108547311615697,-0.457908616886236,-0.603452740322541,0.644880913829742,0.568279187299252,no,1
ENSMUSG00000002413,Braf,109880,6,39580171,39702397,0.0589308420774321,0.768375075850537,0.505370257948942,-0.776401847569017,-0.536441203545116,no,2
ENSMUSG00000002416,Ndufb2,68198,6,39569508,39580316,-0.255916082445346,-0.227124650888089,-0.405600775491391,0.330303261700609,0.731348254717583,no,1
ENSMUSG00000002477,Snrpd1,20641,18,10617775,10642079,-0.0823962762860553,-0.610983053166086,-0.459114129494894,0.374715609353691,0.788659802377407,no,1
ENSMUSG00000002489,Tiam1,21844,16,89583999,89940657,0.237674134493637,0.271668577333228,0.610570455821452,-0.819273953217591,-0.456255767189862,no,2
ENSMUSG00000002504,Nherf2,65962,17,24858260,24869301,-0.0319350563931082,-0.737023629025322,-0.440696184224054,0.823253702572777,0.348933823612211,no,1
ENSMUSG00000002524,Puf60,67959,15,75942031,75952773,-0.152338483109352,-0.444235901395463,-0.585994148575286,0.759102666513739,0.500700070448794,no,1
ENSMUSG00000002580,Mien1,103742,11,98328534,98329817,-0.192356611730173,-0.334407725338004,-0.508233271004806,0.658808198022407,0.492589558403419,no,1
ENSMUSG00000002625,Akap8l,54194,17,32540398,32569581,-0.0786079869883892,-0.622625700027021,-0.333159206197054,0.373137953117557,0.668325455334072,no,1
ENSMUSG00000002658,Gtf2f1,98053,17,57310405,57318288,0.0518533686924649,-0.889504244605457,-0.343582604965379,0.610341056074282,0.457877044567588,no,1
ENSMUSG00000002660,Clpp,53895,17,57297305,57303188,-0.165331626114072,-0.530184497650278,-0.365554788015402,0.507535645645073,0.63335194424944,no,1
ENSMUSG00000002661,Alkbh7,66400,17,57304339,57306322,0.109916939437605,-0.698800242262801,-0.602909781622967,0.74277485630384,0.308347170044179,no,1
ENSMUSG00000002679,Med6,69792,12,81620331,81641782,-0.0568143860172058,-0.340423966919409,-0.509257847237715,0.132720220859422,0.788018104917889,no,1
ENSMUSG00000002728,Naa20,67877,2,145744019,145758345,-0.170644967307623,-0.501851676779705,-0.44224202959495,0.675500734606208,0.525400691491843,no,1
ENSMUSG00000002767,Mrpl2,27398,17,46957155,46961065,-0.0774195243620345,-0.568966855532613,-0.314949805228542,0.456276404517495,0.515710519249489,no,1
ENSMUSG00000002768,Mea1,17256,17,46989719,46994037,-0.197570923555167,-0.626987042316743,-0.311510604404172,0.807004106936431,0.424993735813071,no,1
ENSMUSG00000002778,Kdelr1,68137,7,45522196,45533156,-0.0754249017653899,-0.512092277771477,-0.376786163735278,0.393296571511307,0.584901091603889,no,1
ENSMUSG00000002803,Btbd6,399566,12,112940102,112942565,0.0834312047397783,-0.659905129915281,-0.339370312802826,0.48533620834169,0.31294253192225,no,1
ENSMUSG00000002833,Hdgfl2,15193,17,56386634,56407607,0.0282391443578411,-0.643049551531479,-0.510614135213909,0.532172420000153,0.5184853014915,no,1
ENSMUSG00000002844,Adprh,11544,16,38264392,38273065,-0.290108465547788,-0.674351676959366,-0.378070427902126,0.769552018772803,0.734363927717375,no,1
ENSMUSG00000002846,Timmdc1,76916,16,38318709,38343025,0.0218541316588168,-0.807876512383323,-0.209076804270567,0.239949940539649,0.671435603012761,no,1
ENSMUSG00000002870,Mcm2,17216,6,88860456,88875762,0.255944764344881,-1.0767709314149,0.112679325376922,0.193650602358989,0.232806755124262,no,1
ENSMUSG00000002910,Arrdc2,70807,8,71287773,71292364,-0.144467672410929,-0.357657515366152,-0.43788966888371,0.702742681324192,0.315818136697676,no,1
ENSMUSG00000002963,Pnkp,59047,7,44506563,44512416,0.0376237246569411,-0.881332007683089,-0.226366899604335,0.496384769028687,0.472028286135574,no,1
ENSMUSG00000002983,Relb,19698,7,19340142,19363363,-0.0577684464762793,-0.976888887835123,-0.23538883999889,0.730928268593223,0.501036833254639,no,1
ENSMUSG00000002985,Apoe,11816,7,19430034,19433113,-0.149825247569936,-0.604975307740237,-0.487297534121692,0.78430892189705,0.519743494233873,yes,1
ENSMUSG00000003038,Hmgn2,15331,4,133692049,133695961,-0.122241406739895,-0.54538514089094,-0.56240643103992,0.553271626838467,0.722993645146123,no,1
ENSMUSG00000003072,Atp5f1d,66043,10,79974466,79981652,-0.15482897699109,-0.478993374623286,-0.566091242204738,0.60352609438674,0.672593117623772,no,1
ENSMUSG00000003099,Ppp5c,19060,7,16738565,16761849,-0.153650708764513,-0.775379836847756,0.0379687843682509,0.759549197639531,0.18213560877394,no,1
ENSMUSG00000003119,Cdk12,69131,11,98093885,98169330,0.145594230769782,0.488904750244782,0.515122928355808,-0.713321315222404,-0.504754204704818,no,2
ENSMUSG00000003184,Irf3,54131,7,44647072,44652272,-0.109649816975261,-0.66264688255682,-0.310721015117629,0.697060358058522,0.412974145776276,no,1
ENSMUSG00000003226,Ranbp2,19386,10,58282742,58330178,0.0856745937543398,0.665276281565407,0.511799761011717,-0.626222758495295,-0.645344133021513,yes,2
ENSMUSG00000003235,Eif2b5,224045,16,20317567,20328073,-0.0663879019113793,-0.588575407293979,-0.379818289041215,0.549240880252606,0.486283693819656,no,1
ENSMUSG00000003269,Cyth2,19158,7,45456061,45464005,-0.227429353759417,-0.372542385649028,-0.420074562587915,0.766088055196684,0.393485063315319,no,1
ENSMUSG00000003299,Mrpl4,66163,9,20914034,20920135,-0.129309654456587,-0.569339173954168,-0.523932450520695,0.808683939219277,0.463434649391731,no,1
ENSMUSG00000003316,Glg1,20340,8,111881053,111985848,0.205171019557272,0.865076265146891,0.402316663898499,-1.09763662723571,-0.456715897272673,no,2
ENSMUSG00000003345,Csnk1g2,103236,10,80458672,80476583,-0.146525800879922,-0.577155420608421,-0.460276653036787,0.69951429450933,0.546241645625013,no,1
ENSMUSG00000003346,Abhd17a,216169,10,80419488,80426175,-0.185160566771381,-0.643519485557902,-0.3189799166328,0.813781425719093,0.419122344525165,no,1
ENSMUSG00000003380,Rabac1,14470,7,24669177,24672179,-0.033056516124586,-0.625810511538863,-0.370490700040738,0.887945803976739,0.114053434859275,no,1
ENSMUSG00000003382,Etv3,27049,3,87432714,87447463,0.0950411580505313,0.68943670431546,0.106510271708045,-0.308791152206422,-0.596024791712614,no,2
ENSMUSG00000003411,Rab3b,69908,4,108736260,108800521,-0.274896432419795,-0.187467584224079,-0.4922527240017,0.550508228020341,0.594658538254657,no,1
ENSMUSG00000003421,Nosip,66394,7,44711853,44727634,-0.235289106127124,-0.0769748186406814,-0.55577896387902,0.781592636304358,0.256502513717916,no,1
ENSMUSG00000003429,Rps11,27207,7,44771803,44773863,-0.133323328159551,-0.512876217824974,-0.578176599869939,0.694363563139259,0.58726539401615,no,1
ENSMUSG00000003437,Paf1,54624,7,28092376,28098813,-0.263859716683061,-0.391485432889158,-0.218013000882099,0.437190666692173,0.601438485200326,no,1
ENSMUSG00000003438,Timm50,66525,7,28004941,28011497,-0.109287858641447,-0.664067875596445,-0.503453712974616,0.738245490489004,0.565190861071515,no,1
ENSMUSG00000003444,Med29,67224,7,28085571,28092133,-0.104027030941088,-0.317336960293505,-0.542084765168088,0.639415995542309,0.375608287375114,no,1
ENSMUSG00000003452,Bicd1,12121,6,149310384,149464827,0.0823576656149153,0.511550479643224,0.4980515573734,-0.543829700813547,-0.567269044392262,no,2
ENSMUSG00000003528,Slc25a1,13358,16,17743087,17746083,-0.162101861282316,-0.438323607013769,-0.39728578361628,1.08719902107943,-0.00443834045650341,no,1
ENSMUSG00000003531,Dgcr6,13353,16,17870724,17889496,-0.128384259549792,-0.341961425825048,-0.557437859065004,0.396044545392996,0.699530408223772,no,1
ENSMUSG00000003559,As3mt,57344,19,46695897,46729538,0.230784804098658,-0.691710360193444,-0.507568844411626,0.414128221802991,0.323635045613262,no,1
ENSMUSG00000003581,Rnf215,71673,11,4085202,4091172,-0.0825321033065444,-0.716987404335312,-0.4756343722831,0.607081394654051,0.67022261238956,no,1
ENSMUSG00000003585,Sec14l2,67815,11,4047039,4073415,-0.212467395820983,0.0879232284834208,-0.653010237268361,0.416076239459156,0.528155647719453,no,1
ENSMUSG00000003660,Snrnp200,320632,2,127050306,127082371,0.0098263843152113,0.755212881478033,0.80122863622321,-0.700406477485776,-0.810296805977207,no,2
ENSMUSG00000003731,Kpna6,16650,4,129537773,129566560,0.295260859017266,0.73844047129545,0.172464982455075,-0.792765551467561,-0.573309699621844,no,2
ENSMUSG00000003809,Gcdh,270076,8,85613022,85620550,0.0181919352226708,-0.850126146527086,-0.301426701590284,0.158566571106018,0.890306544827701,yes,1
ENSMUSG00000003814,Calr,12317,8,85568479,85573563,-0.0907718240678709,-0.634620506407358,-0.165759914057017,0.447900901862526,0.458445168519903,no,1
ENSMUSG00000003847,Nfat5,54446,8,108020102,108106149,0.19201596731485,0.625941803876879,0.470981256784988,-0.950149106954752,-0.430640079518351,no,2
ENSMUSG00000003868,Ruvbl2,20174,7,45071184,45087520,-0.077830275514108,-0.350105605729413,-0.568728623154902,0.593387540605512,0.432474203284309,no,1
ENSMUSG00000003872,Lin7b,22342,7,45017315,45020007,-0.205877092628063,-0.0681701427029509,-0.47532947316359,0.202662509880787,0.695441172859659,no,1
ENSMUSG00000003873,Bax,12028,7,45111121,45116322,-0.171273911488398,-0.753352189489853,-0.335742024953118,0.72405994400551,0.601984266418007,no,1
ENSMUSG00000003955,Fam162a,70186,16,35864131,35891964,-0.107492443596889,-0.64817396517145,-0.493103812078907,0.48902031036833,0.786354746078942,no,1
ENSMUSG00000003970,Rpl8,26961,15,76788278,76790514,-0.162315855662785,-0.731545181478452,-0.47822151115327,1.04920208021725,0.383655261367859,no,1
ENSMUSG00000003974,Grm3,108069,5,9535541,9775170,-0.0189620705735782,0.849050278781906,0.432531711241374,-0.537707001993009,-0.639937174627986,no,2
ENSMUSG00000004032,Gstm5,14866,3,107803137,107806002,-0.296155463034388,-0.346725320557893,-0.355968729357023,0.688264179680989,0.503808153830935,no,1
ENSMUSG00000004070,Hmox2,15369,16,4544225,4584606,-0.0241611392706904,-0.482077364311846,-0.346054774449848,0.785193467811889,0.0450475509810339,no,1
ENSMUSG00000004071,Cdip1,66626,16,4568212,4608156,-0.146590828168841,-0.679491845444675,-0.322850401706426,0.804227233440997,0.398024642551833,no,1
ENSMUSG00000004085,Map3k20,65964,2,72115981,72272954,0.151417440858834,0.651076185838939,0.37984043799038,-0.612567018385857,-0.629073778126458,no,2
ENSMUSG00000004096,Cwc15,66070,9,14411913,14421873,-0.12307986766027,-0.301129437925438,-0.606792223110193,0.648543291507601,0.449674018106374,no,1
ENSMUSG00000004110,Cacna1e,12290,1,154266477,154760247,0.0236797359695604,0.641085524013843,0.480322941126106,-0.729309876605359,-0.38011433281349,no,2
ENSMUSG00000004113,Cacna1b,12287,2,24493899,24653164,0.0557798794351804,0.793735726175231,0.426960282671553,-0.964694050926697,-0.287472103083793,no,2
ENSMUSG00000004187,Kifc2,16581,15,76544058,76552396,-0.217332563395831,-0.295854854045369,-0.386926031474931,0.435954502696019,0.602503797596445,no,1
ENSMUSG00000004233,Wars2,70560,3,99048384,99146502,0.160378925460074,0.425242474578703,0.491828090478534,-0.479777585394655,-0.682519226336122,no,2
ENSMUSG00000004264,Phb2,12034,6,124689299,124693913,-0.125774171482919,-0.491382908616616,-0.703165535055582,0.703886224013047,0.669818444036303,no,1
ENSMUSG00000004285,Atp6v1f,66144,6,29467717,29470511,-0.0936256359313059,-0.335251116174903,-0.514957904253432,0.520421734079962,0.465694556213548,no,1
ENSMUSG00000004317,Clcn5,12728,X,7020049,7185597,0.300870541772157,0.437977925289861,0.24608218452555,-0.314183404426007,-0.859901993049816,no,2
ENSMUSG00000004319,Clcn3,12725,8,61363423,61436334,-0.0205271165870625,0.737145330037117,0.546818643962679,-0.556566228046412,-0.630046514422903,no,2
ENSMUSG00000004356,Utp20,70683,10,88582469,88662666,0.0271865891030242,0.80168283230749,0.651222039060428,-0.789784094666964,-0.643890404939024,no,2
ENSMUSG00000004366,Sst,20604,16,23708323,23709708,-0.315437659349796,-0.361986359003623,-0.271501372948668,0.488866081503634,0.666472024393866,no,1
ENSMUSG00000004394,Tmed4,103694,11,6220369,6224870,0.0726631378735962,-0.787871478735999,-0.241978424865273,0.703334444670104,0.133699011091081,no,1
ENSMUSG00000004451,Ralb,64143,1,119398035,119432524,0.0514885281434405,-0.313769804500721,-0.645458371060177,0.85840917279182,-0.0154334051904546,no,1
ENSMUSG00000004460,Dnajb11,67838,16,22676595,22698384,-0.124876476974889,-0.591792441126195,-0.224266661880372,0.535006089170289,0.450270811781773,no,1
ENSMUSG00000004610,Etfb,110826,7,43093507,43107224,-0.164896098181764,-0.588332770718794,-0.328653482752918,0.558624681031068,0.597902013365449,no,1
ENSMUSG00000004626,Stxbp2,20911,8,3680955,3693644,-0.138208443515211,-0.391716444062286,-0.499031925672965,0.115044999197423,0.984925109684212,no,1
ENSMUSG00000004667,Polr2e,66420,10,79871783,79875629,-0.212091950344965,-0.53754560091559,-0.463008123483275,0.862533521306679,0.464385649452962,no,1
ENSMUSG00000004768,Rab23,19335,1,33758968,33781645,0.243882467726427,0.556108331860294,-0.0244914476694178,-0.0755506062184716,-0.836518235505449,no,2
ENSMUSG00000004789,Dlst,78920,12,85157607,85181619,0.0382186875113179,-0.885286091157954,-0.298977198109008,0.523627686819915,0.519979058372362,no,1
ENSMUSG00000004798,Ulk2,29869,11,61666475,61745899,-0.0944468918534766,0.724172542715186,0.473786504584252,-0.330106718922698,-0.642222555740403,no,2
ENSMUSG00000004846,Plod3,26433,5,137015873,137025502,-0.0939265960399091,-0.593941660305953,-0.345167699625142,0.421796810423946,0.632188954218117,no,1
ENSMUSG00000004849,Ap1s1,11769,5,137063847,137074989,-0.21880457387534,-0.446661093761576,-0.496485114174278,0.592364956360451,0.696467498043767,no,1
ENSMUSG00000004895,Prcc,94315,3,87766210,87792915,-0.229898182572829,-0.379692814983593,-0.35538896582892,0.912051660700253,0.193710871699347,no,1
ENSMUSG00000004896,Mettl25b,229503,3,87829908,87838024,-0.112287302659184,-0.698025753079575,-0.279147116967466,0.355833095279051,0.759673741664772,no,1
ENSMUSG00000004897,Hdgf,15191,3,87813628,87823439,-0.0879088304194829,-0.595596939845003,-0.311299284422821,0.49940683793146,0.511696761249931,no,1
ENSMUSG00000004929,Thop1,50492,10,80905869,80918393,-0.315925744839969,-0.66764452512313,-0.0279080211974324,0.552904957370432,0.639880598659948,no,1
ENSMUSG00000004933,Matk,17179,10,81088769,81099199,-0.187846502513805,-0.298176177239377,-0.435881659190674,0.425133022163489,0.612808178895817,no,1
ENSMUSG00000004937,Sgta,52551,10,80879909,80896015,-0.202212241323445,-0.518355211884244,-0.420769328118759,0.762990010810823,0.486809683851219,no,1
ENSMUSG00000004994,Yju2b,67736,8,84984424,84997009,-0.0776384481975287,-0.762813203565239,-0.194714957032226,0.454845658678935,0.574982019300357,no,1
ENSMUSG00000005034,Prkacb,18749,3,146435329,146518745,0.00103702642994171,0.666503549931753,0.38260398462114,-0.268193851999902,-0.727186516311089,no,2
ENSMUSG00000005089,Slc1a2,20511,2,102489004,102621129,0.0406286487387875,0.829655796193236,0.347456712254921,-0.805161995211675,-0.373912665513333,yes,2
ENSMUSG00000005125,Ndrg1,17988,15,66801167,66841489,-0.0286030215752605,-0.370929026646668,-0.49708757850556,0.966421136916386,-0.0792599962278799,no,1
ENSMUSG00000005161,Prdx2,21672,8,85696216,85701463,-0.204182747557176,-0.629413096677514,-0.423669687191963,0.874030819556044,0.483920681148791,no,1
ENSMUSG00000005198,Polr2a,20020,11,69624823,69649463,-0.00441326293794735,0.937975677716778,0.465369670510011,-0.785145682780362,-0.532311815495287,no,2
ENSMUSG00000005262,Ufd1,22230,16,18630529,18654011,-0.110281295112673,-0.346093501593289,-0.597282355068085,0.535718257638313,0.571808740337548,no,1
